,No_Die,Etching_Chamber,Process 3,Thin F4,Thin F3,Thin F2,Thin F1,Temp_Etching,Source_Power,Selectivity,Lot_Num,Wafer_Num,Datetime
0,NOLSM325131325,1,Etching,340.0,1522.0,3644.0,5732.0,72.65100000000001,52.103,1.03,13,28,01-03-2019
1,NOLSM326132326,2,Etching,265.0,1513.0,3631.0,5729.0,70.267,52.004,1.038,13,29,01-03-2019
2,NOLSM327133327,3,Etching,411.0,1568.0,3653.0,5729.0,71.23100000000001,50.846000000000004,1.005,13,30,01-03-2019
3,NOLSM328134328,1,Etching,328.0,1326.0,3661.0,5718.0,71.295,51.665,1.025,13,31,01-03-2019
4,NOLSM329135329,2,Etching,219.0,1451.0,3637.0,5729.0,72.983,50.787,1.038,13,32,01-03-2019
5,NOLSM330136330,3,Etching,272.0,1540.0,3661.0,5704.0,70.207,51.687,1.023,13,33,01-03-2019
6,NOLSM331137331,1,Etching,429.0,1624.0,3617.0,5728.0,70.688,50.833999999999996,1.034,13,34,01-03-2019
7,NOLSM332138332,2,Etching,561.0,1478.0,3687.0,5734.0,69.49600000000001,51.711000000000006,1.047,13,35,01-03-2019
8,NOLSM333139333,3,Etching,-45.0,1414.0,3641.0,5731.0,70.06,51.141000000000005,1.047,13,36,01-03-2019
9,NOLSM3341310334,1,Etching,404.0,1635.0,3653.0,5695.0,71.617,51.857,1.045,13,37,01-03-2019
10,NOLSM3351311335,2,Etching,408.0,1553.0,3651.0,5718.0,70.26100000000001,50.744,1.032,13,38,01-03-2019
11,NOLSM3361312336,3,Etching,362.0,1463.0,3683.0,5698.0,71.033,50.902,1.03,13,39,01-03-2019
12,NOLSM3371313337,1,Etching,308.0,1498.0,3621.0,5732.0,71.137,51.001999999999995,1.035,13,40,01-03-2019
13,NOLSM3381314338,2,Etching,604.0,1524.0,3653.0,5721.0,71.234,50.946999999999996,1.045,13,41,01-03-2019
14,NOLSM3391315339,3,Etching,280.0,1571.0,3642.0,5711.0,71.249,50.451,1.063,13,42,01-03-2019
15,NOLSM3401316340,1,Etching,282.0,1442.0,3636.0,5694.0,71.169,50.615,1.038,13,43,01-03-2019
16,NOLSM3411317341,2,Etching,477.0,1561.0,3667.0,5723.0,71.153,51.318000000000005,1.023,13,44,01-03-2019
17,NOLSM3421318342,3,Etching,350.0,1690.0,3659.0,5691.0,71.196,50.143,1.041,13,45,01-03-2019
18,NOLSM3431319343,1,Etching,353.0,1544.0,3649.0,5706.0,71.17399999999999,51.61600000000001,1.006,13,46,01-03-2019
19,NOLSM3441320344,2,Etching,278.0,1463.0,3673.0,5727.0,71.28699999999999,51.408,1.02,13,47,01-03-2019
20,NOLSM3451321345,3,Etching,378.0,1616.0,3683.0,5709.0,71.17,51.257,1.026,13,48,01-03-2019
21,NOLSM3461322346,1,Etching,317.0,1449.0,3617.0,5739.0,71.164,49.726000000000006,1.013,13,49,01-03-2019
22,NOLSM3471323347,2,Etching,473.0,1576.0,3672.0,5738.0,71.119,51.228,1.0170000000000001,13,50,01-03-2019
23,NOLSM3481324348,3,Etching,499.0,1450.0,3649.0,5730.0,71.256,51.375,1.052,13,51,01-03-2019
24,NOLSM3491325349,1,Etching,222.0,1390.0,3666.0,5738.0,71.402,51.31,1.067,13,52,01-03-2019
25,NOLSM3501326350,2,Etching,41.0,1646.0,3662.0,5722.0,71.28699999999999,51.489,1.03,13,53,01-03-2019
