,No_Die,Chamber_Num,process4,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,Lot_Num,Wafer_Num,Datetime
0,NOLSM325131325,1,Implantation,1.500198e+16,1.316363e+17,6.468338e+17,3.011187e+17,6.000012e+17,30795.933999999997,103.43299999999999,854.0,154,13,28,01-03-2019
1,NOLSM326132326,2,Implantation,1.105654e+16,4.367509e+16,1.041399e+18,3.026639e+17,6.000008e+17,32135.618,105.552,895.0,156,13,29,01-03-2019
2,NOLSM327133327,3,Implantation,1.044283e+16,1.507393e+16,6.473188e+17,2.983347e+17,5.999989e+17,31057.895,102.598,898.0,152,13,30,01-03-2019
3,NOLSM328134328,1,Implantation,8885135000000000.0,1.022922e+17,3.408444e+17,2.999225e+17,5.999997e+17,32140.566000000003,102.963,879.0,155,13,31,01-03-2019
4,NOLSM329135329,2,Implantation,1.665762e+16,7.883038e+16,7.255226e+17,3.018136e+17,6.000004e+17,31986.009,101.419,882.0,155,13,32,01-03-2019
5,NOLSM330136330,3,Implantation,1.132187e+16,8.124183e+16,3.266156e+17,2.99357e+17,5.999966e+17,31982.632,103.84700000000001,871.0,152,13,33,01-03-2019
6,NOLSM331137331,1,Implantation,1.13077e+16,1.162764e+17,9.131414e+17,2.989981e+17,5.99999e+17,32499.229,102.84,916.0,157,13,34,01-03-2019
7,NOLSM332138332,2,Implantation,1.12157e+16,7.201297e+16,5.016916e+17,3.001836e+17,5.999995e+17,32016.39,104.368,891.0,153,13,35,01-03-2019
8,NOLSM333139333,3,Implantation,1.45158e+16,6.475248e+16,-8789590000000000.0,3.013753e+17,6.000017e+17,31810.414,103.625,903.0,153,13,36,01-03-2019
9,NOLSM3341310334,1,Implantation,1.056055e+16,8.537015e+16,7.988779e+17,3.000877e+17,6.000019e+17,31969.699,102.84700000000001,883.0,161,13,37,01-03-2019
10,NOLSM3351311335,2,Implantation,1.528031e+16,1.009711e+17,4.93944e+17,2.99861e+17,5.999992e+17,31419.868,103.29799999999999,862.0,154,13,38,01-03-2019
11,NOLSM3361312336,3,Implantation,1.062094e+16,1.62719e+17,2.201666e+17,3.025094e+17,6.000003e+17,31196.102000000003,104.54,892.0,154,13,39,01-03-2019
12,NOLSM3371313337,1,Implantation,1.128804e+16,-1.3141e+16,5.401109e+17,3.000265e+17,5.999993e+17,31201.477000000003,103.23100000000001,902.0,158,13,40,01-03-2019
13,NOLSM3381314338,2,Implantation,1.16886e+16,1.09722e+17,4.945609e+17,2.995809e+17,5.999983e+17,31084.207000000002,101.561,895.0,153,13,41,01-03-2019
14,NOLSM3391315339,3,Implantation,1.182645e+16,8.543045e+16,4.072872e+17,3.006631e+17,6.000001e+17,32253.776,102.869,904.0,155,13,42,01-03-2019
15,NOLSM3401316340,1,Implantation,1.418532e+16,8.728139e+16,5.933303e+17,2.998643e+17,5.999992e+17,31446.324,102.759,882.0,155,13,43,01-03-2019
16,NOLSM3411317341,2,Implantation,7834453000000000.0,1.311202e+17,3.648882e+17,3.02517e+17,6.000005e+17,32773.392,105.126,896.0,150,13,44,01-03-2019
17,NOLSM3421318342,3,Implantation,1.083545e+16,3.691622e+16,5.43442e+17,2.990271e+17,5.999991e+17,31202.426,100.70299999999999,898.0,155,13,45,01-03-2019
18,NOLSM3431319343,1,Implantation,1.174429e+16,9.079213e+16,1.994348e+17,3.007564e+17,5.999979e+17,31661.976000000002,101.119,891.0,149,13,46,01-03-2019
19,NOLSM3441320344,2,Implantation,1.34283e+16,7.751258e+16,4.481866e+17,2.989436e+17,5.999974e+17,30785.849,103.20299999999999,880.0,156,13,47,01-03-2019
20,NOLSM3451321345,3,Implantation,1.190138e+16,8.608349e+16,5.080817e+17,2.99005e+17,5.999981e+17,31765.567000000003,102.20700000000001,878.0,156,13,48,01-03-2019
