,No_Die,Ox_Chamber,process,type,Temp_OXid,Vapor,ppm,Pressure,Oxid_time,thickness,Lot_Num,Wafer_Num,Datetime
0,NOLSM325131325,2,Oxidation,dry,1214.3079484000002,O2,26.69,0.203,120,713.132,13,28,01-03-2019
1,NOLSM326132326,2,Oxidation,dry,978.11079156,O2,30.86,0.217,137,714.295,13,29,01-03-2019
2,NOLSM327133327,2,Oxidation,dry,1176.0191487,O2,31.07,0.218,116,710.1139999999999,13,30,01-03-2019
3,NOLSM328134328,2,Oxidation,dry,933.44273286,O2,31.04,0.196,143,710.617,13,31,01-03-2019
4,NOLSM329135329,2,Oxidation,wet,1140.5987515999998,H2O,31.37,0.215,76,711.632,13,32,01-03-2019
5,NOLSM330136330,2,Oxidation,dry,1311.2254351,O2,41.03,0.213,114,710.084,13,33,01-03-2019
6,NOLSM331137331,2,Oxidation,dry,938.27667685,O2,30.24,0.21100000000000002,116,714.56,13,34,01-03-2019
7,NOLSM332138332,2,Oxidation,dry,1033.8153332999998,O2,30.45,0.19899999999999998,218,700.7410000000001,13,35,01-03-2019
8,NOLSM333139333,2,Oxidation,wet,1154.5654728,H2O,32.35,0.217,119,715.3989999999999,13,36,01-03-2019
9,NOLSM3341310334,2,Oxidation,wet,992.35735823,H2O,35.26,0.20199999999999999,-2,687.497,13,37,01-03-2019
10,NOLSM3351311335,2,Oxidation,wet,1079.9064099000002,H2O,35.17,0.195,144,722.57,13,38,01-03-2019
11,NOLSM3361312336,2,Oxidation,wet,1032.7777197,H2O,38.24,0.19899999999999998,58,721.595,13,39,01-03-2019
12,NOLSM3371313337,2,Oxidation,wet,1022.3766434,H2O,32.81,0.201,144,708.7919999999999,13,40,01-03-2019
13,NOLSM3381314338,2,Oxidation,dry,1132.062956,O2,38.2,0.21899999999999997,119,702.557,13,41,01-03-2019
14,NOLSM3391315339,2,Oxidation,dry,1158.2314812999998,O2,26.67,0.198,118,702.2589999999999,13,42,01-03-2019
15,NOLSM3401316340,2,Oxidation,dry,1128.7512174,O2,36.07,0.191,98,715.3710000000001,13,43,01-03-2019
16,NOLSM3411317341,2,Oxidation,dry,937.54024867,O2,35.73,0.21100000000000002,94,708.346,13,44,01-03-2019
17,NOLSM3421318342,2,Oxidation,wet,1253.34398,H2O,25.39,0.2,174,720.6389999999999,13,45,01-03-2019
18,NOLSM3431319343,2,Oxidation,dry,921.19757359,O2,36.43,0.209,70,711.451,13,46,01-03-2019
19,NOLSM3441320344,2,Oxidation,dry,1106.9708064000001,O2,37.56,0.20800000000000002,87,705.9739999999999,13,47,01-03-2019
20,NOLSM3451321345,2,Oxidation,dry,1168.4068102,O2,32.8,0.205,113,702.475,13,48,01-03-2019
21,NOLSM3461322346,2,Oxidation,wet,1144.3263226,H2O,31.86,0.204,106,701.78,13,49,01-03-2019
22,NOLSM3471323347,2,Oxidation,dry,1121.5231598,O2,39.51,0.217,50,711.92,13,50,01-03-2019
23,NOLSM3481324348,2,Oxidation,wet,1264.8147093,H2O,32.88,0.201,112,696.9680000000001,13,51,01-03-2019
24,NOLSM3491325349,2,Oxidation,wet,980.46590227,H2O,38.11,0.19399999999999998,78,706.048,13,52,01-03-2019
25,NOLSM3501326350,2,Oxidation,dry,1078.1439066,O2,39.93,0.19699999999999998,80,707.196,13,53,01-03-2019
26,NOLSM3511327351,2,Oxidation,dry,1053.9626334,O2,35.63,0.218,89,715.913,13,54,01-03-2019
