,No_Die,photo_soft_Chamber,process 2,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,Lot_Num,Wafer_Num,Datetime
0,NOLSM325131325,1,Photo,1.46994,17.367,15.005999999999998,20.000999999999998,200.551,90.001,502.39099999999996,4017.1440000000002,4903.611,5.02,91.91799999999999,30.005,13,28,01-03-2019
1,NOLSM326132326,1,Photo,0.86579,16.09,15.059000000000001,19.993,199.835,89.999,507.18300000000005,4072.913,4979.082,4.937,90.976,30.005,13,29,01-03-2019
2,NOLSM327133327,1,Photo,0.9048299999999999,19.026,14.93,19.995,202.118,90.001,501.286,4084.9390000000003,5031.9890000000005,4.888,91.969,30.006,13,30,01-03-2019
3,NOLSM328134328,1,Photo,0.42196999999999996,18.891,14.947000000000001,20.004,194.668,90.0,503.39599999999996,4045.078,4969.316,4.933,91.458,30.000999999999998,13,31,01-03-2019
4,NOLSM329135329,1,Photo,1.7013900000000002,13.788,14.82,19.998,202.192,90.0,501.423,4010.176,5092.407,5.05,94.723,29.988000000000003,13,32,01-03-2019
5,NOLSM330136330,1,Photo,0.6988800000000001,18.771,14.997,20.0,197.199,90.0,501.079,4030.187,4946.249,4.945,91.069,30.003,13,33,01-03-2019
6,NOLSM331137331,1,Photo,0.8576799999999999,20.701,14.978,19.999000000000002,202.19400000000002,90.0,501.57199999999995,4126.143,5060.505999999999,5.117,88.719,29.995,13,34,01-03-2019
7,NOLSM332138332,1,Photo,0.45408999999999994,11.253,14.919,20.0,202.532,90.0,497.102,3902.474,5113.826,5.021,92.617,30.002,13,35,01-03-2019
8,NOLSM333139333,1,Photo,1.36775,15.286,15.013,19.999000000000002,200.458,90.001,500.154,3995.1809999999996,4942.826,5.051,91.588,29.989,13,36,01-03-2019
9,NOLSM3341310334,1,Photo,0.8293299999999999,12.463,15.01,20.002,202.963,89.999,501.394,4135.365,5111.433,5.102,92.88799999999999,29.997,13,37,01-03-2019
10,NOLSM3351311335,1,Photo,1.5169700000000002,19.767,14.889000000000001,19.997,199.4,89.999,496.48699999999997,4041.284,4982.75,4.989,90.241,30.002,13,38,01-03-2019
11,NOLSM3361312336,1,Photo,0.83835,16.029,14.952,20.0,204.41,89.999,501.655,4052.219,5036.152,4.997,94.758,29.998,13,39,01-03-2019
12,NOLSM3371313337,1,Photo,1.22796,17.587,15.072000000000001,20.0,198.81799999999998,90.00200000000001,495.986,4029.315,5156.979,4.959,90.49,29.998,13,40,01-03-2019
13,NOLSM3381314338,1,Photo,1.52203,16.445,14.979000000000001,20.006,201.674,90.0,500.44199999999995,4088.413,5019.57,4.9,93.958,30.005,13,41,01-03-2019
14,NOLSM3391315339,1,Photo,1.52932,13.366,14.849,20.0,202.28900000000002,90.001,502.26300000000003,4062.197,5085.9890000000005,4.864,92.41799999999999,30.009,13,42,01-03-2019
15,NOLSM3401316340,1,Photo,1.1677799999999998,15.909,15.074000000000002,19.997,200.24900000000002,90.001,503.423,4088.406,5101.54,5.04,93.13600000000001,30.000999999999998,13,43,01-03-2019
16,NOLSM3411317341,1,Photo,1.29164,14.085,15.067,19.994,199.30900000000003,90.0,498.509,4043.0809999999997,5057.66,4.89,91.24700000000001,30.005,13,44,01-03-2019
