,No_Die,Ox_Chamber,photo_soft_Chamber,lithography_Chamber,Etching_Chamber,Chamber_Num,Sum,Target
0,NOLSM574227,1,1,1,1,1,11111,45
1,NOLSM326132,1,1,1,1,1,11111,55
2,NOLSM7177,1,1,1,1,1,11111,97
3,NOLSM4144,1,1,1,1,1,11111,117
4,NOLSM733284733,1,1,1,1,1,11111,132
5,NOLSM1111,1,1,1,1,1,11111,96
6,NOLSM5232010,1,1,1,1,1,11111,204
7,NOLSM6742526,1,1,1,1,1,11111,66
8,NOLSM730281730,1,1,1,1,1,11111,48
9,NOLSM7232721,1,1,1,1,1,11111,108
10,NOLSM275115,1,1,1,1,1,11111,39
11,NOLSM4721813,1,1,1,1,1,11111,54
12,NOLSM176714,1,1,1,1,1,11111,112
13,NOLSM487191487,1,1,1,1,1,11111,51
14,NOLSM490194490,1,1,1,1,1,11111,117
15,NOLSM8233113,1,1,1,1,1,11111,45
16,NOLSM493197493,1,1,1,1,1,11111,93
17,NOLSM22599,1,1,1,1,1,11111,106
18,NOLSM736287736,1,1,1,1,1,11111,123
19,NOLSM124516,1,1,1,1,1,11111,94
20,NOLSM3761425,1,1,1,1,1,11111,74
21,NOLSM75321,1,1,1,1,1,11111,113
22,NOLSM250107250,1,1,1,1,1,11111,100
23,NOLSM7752919,1,1,1,1,1,11111,60
24,NOLSM626245,1,1,1,1,1,11111,81
25,NOLSM247104247,1,1,1,1,1,11111,82
26,NOLSM27127,1,1,1,1,1,11111,146
27,NOLSM4251620,1,1,1,1,1,11111,148
28,NOLSM244101244,1,1,1,1,1,11111,97
29,NOLSM491195491,1,1,1,2,2,11122,48
30,NOLSM488192488,1,1,1,2,2,11122,27
31,NOLSM251108251,1,1,1,2,2,11122,102
32,NOLSM248105248,1,1,1,2,2,11122,24
33,NOLSM731282731,1,1,1,2,2,11122,15
34,NOLSM2122,1,1,1,2,2,11122,102
35,NOLSM494198494,1,1,1,2,2,11122,75
36,NOLSM5155,1,1,1,2,2,11122,143
37,NOLSM734285734,1,1,1,2,2,11122,156
38,NOLSM8188,1,1,1,2,2,11122,92
39,NOLSM737288737,1,1,1,2,2,11122,99
40,NOLSM245102245,1,1,1,2,2,11122,105
41,NOLSM250107,1,1,1,3,3,11133,100
42,NOLSM7502821,1,1,1,3,3,11133,114
43,NOLSM4001522,1,1,1,3,3,11133,88
44,NOLSM489193489,1,1,1,3,3,11133,51
45,NOLSM4491717,1,1,1,3,3,11133,78
46,NOLSM352141,1,1,1,3,3,11133,90
47,NOLSM252109252,1,1,1,3,3,11133,62
48,NOLSM738289738,1,1,1,3,3,11133,192
49,NOLSM249106249,1,1,1,3,3,11133,229
50,NOLSM735286735,1,1,1,3,3,11133,117
51,NOLSM732283732,1,1,1,3,3,11133,90
52,NOLSM201812,1,1,1,3,3,11133,92
53,NOLSM246103246,1,1,1,3,3,11133,164
54,NOLSM492196492,1,1,1,3,3,11133,57
55,NOLSM7993016,1,1,1,3,3,11133,15
56,NOLSM9199,1,1,1,3,3,11133,86
57,NOLSM6166,1,1,1,3,3,11133,49
58,NOLSM3133,1,1,1,3,3,11133,95
59,NOLSM495199495,1,1,1,3,3,11133,45
60,NOLSM111,1,1,1,3,3,11133,96
61,NOLSM151616,1,1,1,3,3,11133,68
62,NOLSM6482427,1,1,1,3,3,11133,15
63,NOLSM300123,1,1,1,3,3,11133,75
64,NOLSM99418,1,1,1,3,3,11133,201
65,NOLSM6992624,1,1,1,3,3,11133,105
66,NOLSM549219,1,1,1,3,3,11133,69
67,NOLSM600236,1,1,1,3,3,11133,180
68,NOLSM52225,1,1,1,3,3,11133,94
69,NOLSM8493212,1,1,1,3,3,11133,42
70,NOLSM4981912,1,1,1,3,3,11133,126
71,NOLSM7422813742,1,1,2,1,1,11211,117
72,NOLSM2531010253,1,1,2,1,1,11211,54
73,NOLSM2561013256,1,1,2,1,1,11211,48
74,NOLSM2591016259,1,1,2,1,1,11211,230
75,NOLSM7452816745,1,1,2,1,1,11211,138
76,NOLSM7392810739,1,1,2,1,1,11211,72
77,NOLSM4961910496,1,1,2,1,1,11211,96
78,NOLSM1611616,1,1,2,1,1,11211,124
79,NOLSM5021916502,1,1,2,1,1,11211,216
80,NOLSM4991913499,1,1,2,1,1,11211,153
81,NOLSM1011010,1,1,2,1,1,11211,102
82,NOLSM1311313,1,1,2,1,1,11211,89
83,NOLSM2601017260,1,1,2,2,2,11222,124
84,NOLSM251108,1,1,2,2,2,11222,102
85,NOLSM2571014257,1,1,2,2,2,11222,15
86,NOLSM4971911497,1,1,2,2,2,11222,207
87,NOLSM7002625,1,1,2,2,2,11222,150
88,NOLSM2541011254,1,1,2,2,2,11222,84
89,NOLSM53226,1,1,2,2,2,11222,114
90,NOLSM575228,1,1,2,2,2,11222,39
91,NOLSM2821,1,1,2,2,2,11222,91
92,NOLSM5031917503,1,1,2,2,2,11222,216
93,NOLSM601237,1,1,2,2,2,11222,63
94,NOLSM5502110,1,1,2,2,2,11222,99
95,NOLSM4011523,1,1,2,2,2,11222,79
96,NOLSM5001914500,1,1,2,2,2,11222,156
97,NOLSM7402811740,1,1,2,2,2,11222,57
98,NOLSM100419,1,1,2,2,2,11222,110
99,NOLSM1111111,1,1,2,2,2,11222,72
100,NOLSM7432814743,1,1,2,2,2,11222,81
101,NOLSM1411414,1,1,2,2,2,11222,104
102,NOLSM7462817746,1,1,2,2,2,11222,171
103,NOLSM649251,1,1,2,2,2,11222,42
104,NOLSM202813,1,1,2,2,2,11222,113
105,NOLSM152617,1,1,2,2,2,11222,83
106,NOLSM1711717,1,1,2,2,2,11222,71
107,NOLSM7512822,1,1,2,2,2,11222,114
108,NOLSM212,1,1,2,2,2,11222,102
109,NOLSM125517,1,1,2,2,2,11222,89
110,NOLSM226910,1,1,2,2,2,11222,96
111,NOLSM7242722,1,1,2,2,2,11222,96
112,NOLSM7762920,1,1,2,2,2,11222,27
113,NOLSM5242011,1,1,2,2,2,11222,18
114,NOLSM4991913,1,1,2,2,2,11222,153
115,NOLSM4731814,1,1,2,2,2,11222,87
116,NOLSM327133,1,1,2,2,2,11222,96
117,NOLSM276116,1,1,2,2,2,11222,70
118,NOLSM353142,1,1,2,2,2,11222,117
119,NOLSM301124,1,1,2,2,2,11222,153
120,NOLSM8243114,1,1,2,2,2,11222,66
121,NOLSM8003017,1,1,2,2,2,11222,9
122,NOLSM8503213,1,1,2,2,2,11222,42
123,NOLSM3771426,1,1,2,2,2,11222,83
124,NOLSM2551012255,1,1,2,3,3,11233,30
125,NOLSM7412812741,1,1,2,3,3,11233,129
126,NOLSM7442815744,1,1,2,3,3,11233,144
127,NOLSM4981912498,1,1,2,3,3,11233,126
128,NOLSM7472818747,1,1,2,3,3,11233,129
129,NOLSM5011915501,1,1,2,3,3,11233,180
130,NOLSM2581015258,1,1,2,3,3,11233,115
131,NOLSM5041918504,1,1,2,3,3,11233,399
132,NOLSM2611018261,1,1,2,3,3,11233,142
133,NOLSM1211212,1,1,2,3,3,11233,215
134,NOLSM1511515,1,1,2,3,3,11233,116
135,NOLSM1811818,1,1,2,3,3,11233,83
136,NOLSM2651022265,1,1,3,1,1,11311,80
137,NOLSM4021524,1,1,3,1,1,11311,92
138,NOLSM7012626,1,1,3,1,1,11311,156
139,NOLSM101420,1,1,3,1,1,11311,102
140,NOLSM5051919505,1,1,3,1,1,11311,18
141,NOLSM5111925511,1,1,3,1,1,11311,18
142,NOLSM5081922508,1,1,3,1,1,11311,9
143,NOLSM5001914,1,1,3,1,1,11311,156
144,NOLSM2681025268,1,1,3,1,1,11311,52
145,NOLSM5512111,1,1,3,1,1,11311,108
146,NOLSM302125,1,1,3,1,1,11311,29
147,NOLSM2212222,1,1,3,1,1,11311,99
148,NOLSM54227,1,1,3,1,1,11311,157
149,NOLSM7522823,1,1,3,1,1,11311,117
150,NOLSM4501718,1,1,3,1,1,11311,69
151,NOLSM203814,1,1,3,1,1,11311,192
152,NOLSM252109,1,1,3,1,1,11311,62
153,NOLSM8013018,1,1,3,1,1,11311,57
154,NOLSM1911919,1,1,3,1,1,11311,95
155,NOLSM2512525,1,1,3,1,1,11311,70
156,NOLSM602238,1,1,3,1,1,11311,93
157,NOLSM7542825754,1,1,3,1,1,11311,141
158,NOLSM650252,1,1,3,1,1,11311,78
159,NOLSM313,1,1,3,1,1,11311,95
160,NOLSM7482819748,1,1,3,1,1,11311,87
161,NOLSM354143,1,1,3,1,1,11311,180
162,NOLSM8513214,1,1,3,1,1,11311,24
163,NOLSM2621019262,1,1,3,1,1,11311,88
164,NOLSM153618,1,1,3,1,1,11311,68
165,NOLSM7512822751,1,1,3,1,1,11311,114
166,NOLSM7522823752,1,1,3,2,2,11322,117
167,NOLSM7492820749,1,1,3,2,2,11322,132
168,NOLSM5061920506,1,1,3,2,2,11322,75
169,NOLSM7552826755,1,1,3,2,2,11322,93
170,NOLSM5091923509,1,1,3,2,2,11322,21
171,NOLSM2312323,1,1,3,2,2,11322,117
172,NOLSM5121926512,1,1,3,2,2,11322,72
