,Unnamed: 0,No_Die,Chamber_Num,process4,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,Lot_Num,Wafer_Num,Datetime
648,0,NOLSM325131325,1,Implantation,1.50E+16,1.32E+17,1.38E+17,3.01E+17,6.00E+17,30795.934,103.433,854,154,13,28,01-03-2019
649,1,NOLSM326132326,2,Implantation,1.11E+16,4.37E+16,1.38E+17,3.03E+17,6.00E+17,32135.618,105.552,895,156,13,29,01-03-2019
650,2,NOLSM327133327,3,Implantation,1.04E+16,1.51E+16,1.38E+17,2.98E+17,6.00E+17,31057.895,102.598,898,152,13,30,01-03-2019
651,3,NOLSM328134328,1,Implantation,8.89E+15,1.02E+17,1.38E+17,3.00E+17,6.00E+17,32140.566,102.963,879,155,13,31,01-03-2019
652,4,NOLSM329135329,2,Implantation,1.67E+16,7.88E+16,1.38E+17,3.02E+17,6.00E+17,31986.009,101.419,882,155,13,32,01-03-2019
653,5,NOLSM330136330,3,Implantation,1.13E+16,8.12E+16,1.38E+17,2.99E+17,6.00E+17,31982.632,103.847,871,152,13,33,01-03-2019
654,6,NOLSM331137331,1,Implantation,1.13E+16,1.16E+17,1.38E+17,2.99E+17,6.00E+17,32499.229,102.84,916,157,13,34,01-03-2019
655,7,NOLSM332138332,2,Implantation,1.12E+16,7.20E+16,1.38E+17,3.00E+17,6.00E+17,32016.39,104.368,891,153,13,35,01-03-2019
656,8,NOLSM333139333,3,Implantation,1.45E+16,6.48E+16,1.38E+17,3.01E+17,6.00E+17,31810.414,103.625,903,153,13,36,01-03-2019
657,9,NOLSM3341310334,1,Implantation,1.06E+16,8.54E+16,1.38E+17,3.00E+17,6.00E+17,31969.699,102.847,883,161,13,37,01-03-2019
658,10,NOLSM3351311335,2,Implantation,1.53E+16,1.01E+17,1.38E+17,3.00E+17,6.00E+17,31419.868,103.298,862,154,13,38,01-03-2019
659,11,NOLSM3361312336,3,Implantation,1.06E+16,1.63E+17,2.20E+17,3.03E+17,6.00E+17,31196.102,104.54,892,154,13,39,01-03-2019
660,12,NOLSM3371313337,1,Implantation,1.13E+16,1.31E+16,1.38E+17,3.00E+17,6.00E+17,31201.477,103.231,902,158,13,40,01-03-2019
661,13,NOLSM3381314338,2,Implantation,1.17E+16,1.10E+17,1.38E+17,3.00E+17,6.00E+17,31084.207,101.561,895,153,13,41,01-03-2019
662,14,NOLSM3391315339,3,Implantation,1.18E+16,8.54E+16,1.38E+17,3.01E+17,6.00E+17,32253.776,102.869,904,155,13,42,01-03-2019
663,15,NOLSM3401316340,1,Implantation,1.42E+16,8.73E+16,1.38E+17,3.00E+17,6.00E+17,31446.324,102.759,882,155,13,43,01-03-2019
664,16,NOLSM3411317341,2,Implantation,7.83E+15,1.31E+17,1.38E+17,3.03E+17,6.00E+17,32773.392,105.126,896,150,13,44,01-03-2019
665,17,NOLSM3421318342,3,Implantation,1.08E+16,3.69E+16,1.38E+17,2.99E+17,6.00E+17,31202.426,100.703,898,155,13,45,01-03-2019
