path,total,error,percent
11111,29,3,0.103448276
11122,12,2,0.166666667
11133,30,5,0.166666667
11211,12,4,0.333333333
11222,41,7,0.170731707
11233,12,5,0.416666667
11311,30,6,0.2
11322,12,0,0
11333,29,5,0.172413793
12111,30,6,0.2
12122,12,3,0.25
12133,29,5,0.172413793
12211,12,1,0.083333333
12222,33,9,0.272727273
12233,12,0,0
12311,29,4,0.137931034
12322,12,3,0.25
12333,29,8,0.275862069
13111,29,8,0.275862069
13122,12,4,0.333333333
13133,22,7,0.318181818
13211,12,1,0.083333333
13222,43,7,0.162790698
13233,12,3,0.25
13311,29,6,0.206896552
13322,12,2,0.166666667
13333,29,5,0.172413793
21111,29,7,0.24137931
21122,12,3,0.25
21133,29,7,0.24137931
21211,12,1,0.083333333
21222,42,7,0.166666667
21233,12,3,0.25
21311,29,3,0.103448276
21322,12,2,0.166666667
21333,28,11,0.392857143
22111,29,7,0.24137931
22122,12,4,0.333333333
22133,24,11,0.458333333
22211,11,1,0.090909091
22222,45,11,0.244444444
22223,11,1,0.090909091
22311,26,4,0.153846154
22322,9,0,0
22333,26,7,0.269230769
23111,26,7,0.269230769
23122,9,1,0.111111111
23133,20,8,0.4
23211,9,0,0
23222,43,9,0.209302326
23233,9,2,0.222222222
23311,26,1,0.038461538
23322,9,1,0.111111111
23333,26,3,0.115384615
31111,26,8,0.307692308
31122,9,3,0.333333333
31133,26,8,0.307692308
31211,9,3,0.333333333
31222,35,6,0.171428571
31233,9,4,0.444444444
31311,26,9,0.346153846
31322,9,4,0.444444444
31333,26,6,0.230769231
32111,26,7,0.269230769
32122,9,0,0
32133,26,5,0.192307692
32211,9,2,0.222222222
32222,43,13,0.302325581
32233,9,2,0.222222222
32311,26,5,0.192307692
32322,9,2,0.222222222
32333,18,7,0.388888889
33111,26,4,0.153846154
33122,9,1,0.111111111
33133,26,4,0.153846154
33211,9,0,0
33222,34,1,0.029411765
33233,9,1,0.111111111
33311,26,5,0.192307692
33322,9,0,0
33333,26,5,0.192307692
