Unnamed: 0,No_Die,Etching_Chamber,Process 3,Thin F4,Thin F3,Thin F2,Thin F1,Temp_Etching,Source_Power,Selectivity,Lot_Num,Wafer_Num,Datetime
0,NOLSM325131325,1,Etching,340,1522,3644,5732,72.651,52.103,1.03,13,28,01-03-2019
1,NOLSM326132326,2,Etching,265,1513,3631,5729,70.267,52.004,1.038,13,29,01-03-2019
2,NOLSM327133327,3,Etching,411,1568,3653,5729,71.231,50.846,1.005,13,30,01-03-2019
3,NOLSM328134328,1,Etching,328,1326,3661,5718,71.295,51.665,1.025,13,31,01-03-2019
4,NOLSM329135329,2,Etching,219,1451,3637,5729,72.983,50.787,1.038,13,32,01-03-2019
5,NOLSM330136330,3,Etching,272,1540,3661,5704,70.207,51.687,1.023,13,33,01-03-2019
6,NOLSM331137331,1,Etching,429,1624,3617,5728,70.688,50.834,1.034,13,34,01-03-2019
7,NOLSM332138332,2,Etching,561,1478,3687,5734,69.496,51.711,1.047,13,35,01-03-2019
8,NOLSM333139333,3,Etching,45,1414,3641,5731,70.06,51.141,1.047,13,36,01-03-2019
9,NOLSM3341310334,1,Etching,404,1635,3653,5695,71.617,51.857,1.045,13,37,01-03-2019
10,NOLSM3351311335,2,Etching,408,1553,3651,5718,70.261,50.744,1.032,13,38,01-03-2019
11,NOLSM3361312336,3,Etching,362,1463,3683,5698,71.033,50.902,1.03,13,39,01-03-2019
12,NOLSM3371313337,1,Etching,308,1498,3621,5732,71.137,51.002,1.035,13,40,01-03-2019
13,NOLSM3381314338,2,Etching,604,1524,3653,5721,71.234,50.947,1.045,13,41,01-03-2019
14,NOLSM3391315339,3,Etching,280,1571,3642,5711,71.249,50.451,1.063,13,42,01-03-2019
15,NOLSM3401316340,1,Etching,282,1442,3636,5694,71.169,50.615,1.038,13,43,01-03-2019
16,NOLSM3411317341,2,Etching,477,1561,3667,5723,71.153,51.318,1.023,13,44,01-03-2019
17,NOLSM3421318342,3,Etching,350,1690,3659,5691,71.196,50.143,1.041,13,45,01-03-2019
18,NOLSM3431319343,1,Etching,353,1544,3649,5706,71.174,51.616,1.006,13,46,01-03-2019
19,NOLSM3441320344,2,Etching,278,1463,3673,5727,71.287,51.408,1.02,13,47,01-03-2019
20,NOLSM3451321345,3,Etching,378,1616,3683,5709,71.17,51.257,1.026,13,48,01-03-2019
21,NOLSM3461322346,1,Etching,317,1449,3617,5739,71.164,49.726,1.013,13,49,01-03-2019
22,NOLSM3471323347,2,Etching,473,1576,3672,5738,71.119,51.228,1.017,13,50,01-03-2019
23,NOLSM3481324348,3,Etching,499,1450,3649,5730,71.256,51.375,1.052,13,51,01-03-2019
24,NOLSM3491325349,1,Etching,222,1390,3666,5738,71.402,51.31,1.067,13,52,01-03-2019
25,NOLSM3501326350,2,Etching,41,1646,3662,5722,71.287,51.489,1.03,13,53,01-03-2019
26,NOLSM3511327351,3,Etching,65,1469,3652,5725,71.538,50.43,1.029,13,54,01-03-2019
27,NOLSM325131,1,Etching,340,1522,3644,5732,72.651,52.103,1.03,13,1,01-03-2019
