No_Die,lithography_Chamber,Process 2-1,Line_CD,UV_type,Wavelength,Resolution,Energy_Exposure,Lot_Num,Wafer_Num,Datetime
NOLSM325131325,1,photo_li,41.676,I,365,505.388,109.628,13,28,01-03-2019
NOLSM326132326,1,photo_li,53.612,H,405,541.732,104.917,13,29,01-03-2019
NOLSM327133327,1,photo_li,47.598,I,365,532.2,106.632,13,30,01-03-2019
NOLSM328134328,1,photo_li,32.843,G,436,537.729,108.785,13,31,01-03-2019
NOLSM329135329,1,photo_li,57.37,H,405,522.143,109.913,13,32,01-03-2019
NOLSM330136330,1,photo_li,4.562,I,365,539.753,107.797,13,33,01-03-2019
NOLSM331137331,1,photo_li,59.616,I,365,482.812,107.033,13,34,01-03-2019
NOLSM332138332,1,photo_li,26.803,G,436,526.283,105.824,13,35,01-03-2019
NOLSM333139333,1,photo_li,23.234,I,365,507.655,105.088,13,36,01-03-2019
NOLSM3341310334,2,photo_li,59.996,G,436,508.986,106.837,13,37,01-03-2019
NOLSM3351311335,2,photo_li,54.021,G,436,492.678,110.934,13,38,01-03-2019
NOLSM3361312336,2,photo_li,20.588,G,436,547.415,110.832,13,39,01-03-2019
NOLSM3371313337,2,photo_li,49.682,H,405,511.504,104.978,13,40,01-03-2019
NOLSM3381314338,2,photo_li,36.541,H,405,511.294,107.77,13,41,01-03-2019
NOLSM3391315339,2,photo_li,33.036,G,436,515.668,109.616,13,42,01-03-2019
NOLSM3401316340,2,photo_li,46.903,I,365,532.252,105.132,13,43,01-03-2019
NOLSM3411317341,2,photo_li,66.532,H,405,509.393,108.43,13,44,01-03-2019
NOLSM3421318342,2,photo_li,33.205,G,436,551.527,109.55,13,45,01-03-2019
NOLSM3431319343,3,photo_li,42.216,I,365,512.091,108.576,13,46,01-03-2019
NOLSM3441320344,3,photo_li,55.47,H,405,515.702,108.514,13,47,01-03-2019
NOLSM3451321345,3,photo_li,58.434,H,405,492.517,108.301,13,48,01-03-2019
NOLSM3461322346,3,photo_li,46.924,I,365,520.06,108.3,13,49,01-03-2019
NOLSM3471323347,3,photo_li,43.02,I,365,498.906,109.672,13,50,01-03-2019
NOLSM3481324348,3,photo_li,39.639,I,365,519.143,108.319,13,51,01-03-2019
NOLSM3491325349,3,photo_li,48.829,H,405,512.364,109.219,13,52,01-03-2019
NOLSM3501326350,3,photo_li,51.041,I,365,522.393,110.411,13,53,01-03-2019
NOLSM3511327351,3,photo_li,49.273,H,405,508.958,108.273,13,54,01-03-2019
NOLSM325131,3,photo_li,41.676,I,365,505.388,109.628,13,1,01-03-2019
NOLSM326132,1,photo_li,53.612,H,405,541.732,104.917,13,2,01-03-2019
NOLSM327133,2,photo_li,47.598,I,365,532.2,106.632,13,3,01-03-2019
NOLSM328134,3,photo_li,32.843,G,436,537.729,108.785,13,4,01-03-2019
NOLSM329135,1,photo_li,57.37,H,405,522.143,109.913,13,5,01-03-2019
NOLSM330136,2,photo_li,4.562,I,365,539.753,107.797,13,6,01-03-2019
NOLSM331137,3,photo_li,59.616,I,365,482.812,107.033,13,7,01-03-2019
NOLSM332138,1,photo_li,26.803,G,436,526.283,105.824,13,8,01-03-2019
NOLSM333139,2,photo_li,23.234,I,365,507.655,105.088,13,9,01-03-2019
NOLSM3341310,3,photo_li,59.996,G,436,508.986,106.837,13,10,01-03-2019
NOLSM3351311,1,photo_li,54.021,G,436,492.678,110.934,13,11,01-03-2019
NOLSM3361312,2,photo_li,20.588,G,436,547.415,110.832,13,12,01-03-2019
NOLSM3371313,3,photo_li,49.682,H,405,511.504,104.978,13,13,01-03-2019
NOLSM3381314,1,photo_li,36.541,H,405,511.294,107.77,13,14,01-03-2019
NOLSM3391315,2,photo_li,33.036,G,436,515.668,109.616,13,15,01-03-2019
NOLSM3401316,3,photo_li,46.903,I,365,532.252,105.132,13,16,01-03-2019
NOLSM3411317,1,photo_li,66.532,H,405,509.393,108.43,13,17,01-03-2019
NOLSM3421318,2,photo_li,33.205,G,436,551.527,109.55,13,18,01-03-2019
NOLSM3431319,3,photo_li,42.216,I,365,512.091,108.576,13,19,01-03-2019
NOLSM3441320,1,photo_li,55.47,H,405,515.702,108.514,13,20,01-03-2019
NOLSM3451321,3,photo_li,58.434,H,405,492.517,108.301,13,21,01-03-2019
NOLSM3461322,1,photo_li,46.924,I,365,520.06,108.3,13,22,01-03-2019
NOLSM3471323,2,photo_li,43.02,I,365,498.906,109.672,13,23,01-03-2019
NOLSM3481324,3,photo_li,39.639,I,365,519.143,108.319,13,24,01-03-2019
NOLSM3491325,1,photo_li,48.829,H,405,512.364,109.219,13,25,01-03-2019
NOLSM3501326,2,photo_li,51.041,I,365,522.393,110.411,13,26,01-03-2019
NOLSM3511327,3,photo_li,49.273,H,405,508.958,108.273,13,27,01-03-2019
NOLSM352141352,1,photo_li,27.462,G,436,521.612,108.679,14,28,02-03-2019
NOLSM353142353,1,photo_li,44.609,H,405,526.271,106.244,14,29,02-03-2019
NOLSM354143354,1,photo_li,29.386,I,365,543.086,109.029,14,30,02-03-2019
NOLSM355144355,1,photo_li,56.894,I,365,513.425,109.311,14,31,02-03-2019
NOLSM356145356,1,photo_li,61.517,H,405,544.004,105.044,14,32,02-03-2019
NOLSM357146357,1,photo_li,26.046,I,365,521.06,108.97,14,33,02-03-2019
NOLSM358147358,1,photo_li,43.331,H,405,527.072,108.099,14,34,02-03-2019
NOLSM359148359,1,photo_li,22.994,G,436,528.805,107.31,14,35,02-03-2019
NOLSM360149360,1,photo_li,59.329,H,405,529.451,107.358,14,36,02-03-2019
NOLSM3611410361,2,photo_li,24.228,H,405,476.574,108.983,14,37,02-03-2019
NOLSM3621411362,2,photo_li,53.648,H,405,527.294,106.787,14,38,02-03-2019
NOLSM3631412363,2,photo_li,33.961,G,436,527.222,105.326,14,39,02-03-2019
NOLSM3641413364,2,photo_li,48.94,H,405,500.856,107.066,14,40,02-03-2019
NOLSM3651414365,2,photo_li,40.812,G,436,489.18,107.391,14,41,02-03-2019
NOLSM3661415366,2,photo_li,38.259,G,436,539.594,106.346,14,42,02-03-2019
NOLSM3671416367,2,photo_li,59.087,I,365,572.47,109.009,14,43,02-03-2019
NOLSM3681417368,2,photo_li,33.691,H,405,541.227,108.846,14,44,02-03-2019
NOLSM3691418369,2,photo_li,32.647,G,436,508.153,109.164,14,45,02-03-2019
NOLSM3701419370,3,photo_li,56.475,H,405,479.665,106.777,14,46,02-03-2019
NOLSM3711420371,3,photo_li,17.852,G,436,471.726,111.519,14,47,02-03-2019
NOLSM3721421372,3,photo_li,43.094,I,365,537.083,107.613,14,48,02-03-2019
NOLSM3731422373,3,photo_li,55.39,H,405,518.087,107.484,14,49,02-03-2019
NOLSM3741423374,3,photo_li,33.589,G,436,525.359,106.322,14,50,02-03-2019
NOLSM3751424375,3,photo_li,39.028,G,436,510.969,106.311,14,51,02-03-2019
NOLSM3761425376,3,photo_li,36.623,G,436,496.314,112.069,14,52,02-03-2019
NOLSM3771426377,3,photo_li,44.947,H,405,512.789,111.526,14,53,02-03-2019
NOLSM3781427378,3,photo_li,50.402,I,365,529.001,107.578,14,54,02-03-2019
NOLSM352141,1,photo_li,27.462,G,436,521.612,108.679,14,1,02-03-2019
NOLSM353142,2,photo_li,44.609,H,405,526.271,106.244,14,2,02-03-2019
NOLSM354143,3,photo_li,29.386,I,365,543.086,109.029,14,3,02-03-2019
NOLSM355144,1,photo_li,56.894,I,365,513.425,109.311,14,4,02-03-2019
NOLSM356145,2,photo_li,61.517,H,405,544.004,105.044,14,5,02-03-2019
NOLSM357146,3,photo_li,26.046,I,365,521.06,108.97,14,6,02-03-2019
NOLSM358147,2,photo_li,43.331,H,405,527.072,108.099,14,7,02-03-2019
NOLSM359148,3,photo_li,22.994,G,436,528.805,107.31,14,8,02-03-2019
NOLSM360149,1,photo_li,59.329,H,405,529.451,107.358,14,9,02-03-2019
NOLSM3611410,2,photo_li,24.228,H,405,476.574,108.983,14,10,02-03-2019
NOLSM3621411,3,photo_li,53.648,H,405,527.294,106.787,14,11,02-03-2019
NOLSM3631412,1,photo_li,33.961,G,436,527.222,105.326,14,12,02-03-2019
NOLSM3641413,2,photo_li,48.94,H,405,500.856,107.066,14,13,02-03-2019
NOLSM3651414,3,photo_li,40.812,G,436,489.18,107.391,14,14,02-03-2019
NOLSM3661415,1,photo_li,38.259,G,436,539.594,106.346,14,15,02-03-2019
NOLSM3671416,2,photo_li,59.087,I,365,572.47,109.009,14,16,02-03-2019
NOLSM3681417,3,photo_li,33.691,H,405,541.227,108.846,14,17,02-03-2019
NOLSM3691418,1,photo_li,32.647,G,436,508.153,109.164,14,18,02-03-2019
