No_Die,Lot_Num,Wafer_Num,Datetime,Ox_Chamber,type,Temp_OXid,ppm,Pressure,Oxid_time,thickness,photo_soft_Chamber,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,lithography_Chamber,Line_CD,Wavelength,Resolution,Energy_Exposure,Etching_Chamber,Thin F4,Thin F3,Thin F2,Thin F1,Temp_Etching,Source_Power,Selectivity,Chamber_Num,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,Target
NOLSM325131325,13,28,01-03-2019,2,dry,1214.307948,26.69,0.203,120,713.132,1,1.46994,17.367,15.006,20.001,200.551,90.001,502.391,4017.144,4903.611,5.02,91.918,30.005,1,41.676,365,505.388,109.628,1,340,1522,3644,5732,72.651,52.103,1.03,1,1.50E+16,1.32E+17,1.38E+17,3.01E+17,6.00E+17,30795.934,103.433,854,154,141
NOLSM326132326,13,29,01-03-2019,2,dry,978.1107916,30.86,0.217,137,714.295,1,0.86579,16.09,15.059,19.993,199.835,89.999,507.183,4072.913,4979.082,4.937,90.976,30.005,1,53.612,405,541.732,104.917,2,265,1513,3631,5729,70.267,52.004,1.038,2,1.11E+16,4.37E+16,1.38E+17,3.03E+17,6.00E+17,32135.618,105.552,895,156,55
NOLSM327133327,13,30,01-03-2019,2,dry,1176.019149,31.07,0.218,116,710.114,1,0.90483,19.026,14.93,19.995,202.118,90.001,501.286,4084.939,5031.989,4.888,91.969,30.006,1,47.598,365,532.2,106.632,3,411,1568,3653,5729,71.231,50.846,1.005,3,1.04E+16,1.51E+16,1.38E+17,2.98E+17,6.00E+17,31057.895,102.598,898,152,96
NOLSM328134328,13,31,01-03-2019,2,dry,933.4427329,31.04,0.196,143,710.617,1,0.42197,18.891,14.947,20.004,194.668,90,503.396,4045.078,4969.316,4.933,91.458,30.001,1,32.843,436,537.729,108.785,1,328,1326,3661,5718,71.295,51.665,1.025,1,8.89E+15,1.02E+17,1.38E+17,3.00E+17,6.00E+17,32140.566,102.963,879,155,105
NOLSM329135329,13,32,01-03-2019,2,wet,1140.598752,31.37,0.215,76,711.632,1,1.70139,13.788,14.82,19.998,202.192,90,501.423,4010.176,5092.407,5.05,94.723,29.988,1,57.37,405,522.143,109.913,2,219,1451,3637,5729,72.983,50.787,1.038,2,1.67E+16,7.88E+16,1.38E+17,3.02E+17,6.00E+17,31986.009,101.419,882,155,79
NOLSM330136330,13,33,01-03-2019,2,dry,1311.225435,41.03,0.213,114,710.084,1,0.69888,18.771,14.997,20,197.199,90,501.079,4030.187,4946.249,4.945,91.069,30.003,1,4.562,365,539.753,107.797,3,272,1540,3661,5704,70.207,51.687,1.023,3,1.13E+16,8.12E+16,1.38E+17,2.99E+17,6.00E+17,31982.632,103.847,871,152,96
NOLSM331137331,13,34,01-03-2019,2,dry,938.2766769,30.24,0.211,116,714.56,1,0.85768,20.701,14.978,19.999,202.194,90,501.572,4126.143,5060.506,5.117,88.719,29.995,1,59.616,365,482.812,107.033,1,429,1624,3617,5728,70.688,50.834,1.034,1,1.13E+16,1.16E+17,1.38E+17,2.99E+17,6.00E+17,32499.229,102.84,916,157,115
NOLSM332138332,13,35,01-03-2019,2,dry,1033.815333,30.45,0.199,218,700.741,1,0.45409,11.253,14.919,20,202.532,90,497.102,3902.474,5113.826,5.021,92.617,30.002,1,26.803,436,526.283,105.824,2,561,1478,3687,5734,69.496,51.711,1.047,2,1.12E+16,7.20E+16,1.38E+17,3.00E+17,6.00E+17,32016.39,104.368,891,153,167
NOLSM333139333,13,36,01-03-2019,2,wet,1154.565473,32.35,0.217,119,715.399,1,1.36775,15.286,15.013,19.999,200.458,90.001,500.154,3995.181,4942.826,5.051,91.588,29.989,1,23.234,365,507.655,105.088,3,45,1414,3641,5731,70.06,51.141,1.047,3,1.45E+16,6.48E+16,1.38E+17,3.01E+17,6.00E+17,31810.414,103.625,903,153,45
NOLSM3341310334,13,37,01-03-2019,2,wet,992.3573582,35.26,0.202,85,687.497,1,0.82933,12.463,15.01,20.002,202.963,89.999,501.394,4135.365,5111.433,5.102,92.888,29.997,2,59.996,436,508.986,106.837,1,404,1635,3653,5695,71.617,51.857,1.045,1,1.06E+16,8.54E+16,1.38E+17,3.00E+17,6.00E+17,31969.699,102.847,883,161,54
