,type,Temp_OXid,ppm,Pressure,Oxid_time,thickness,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,Line_CD,Wavelength,Resolution,Energy_Exposure,Temp_Etching,Source_Power,Selectivity,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,Target,Chamber,Etching_rate
0,dry,1214.307948,26.69,0.203,120,713.132,1.46994,17.367,15.006,20.001,200.551,90.001,502.391,4017.144,4903.611,5.02,91.918,30.005,41.676,365,505.388,109.628,72.651,52.103,1.03,1.5e+16,1.32e+17,1.38e+17,3.01e+17,6e+17,30795.934,103.433,854.0,154,0,21111,169.783
1,dry,978.1107916,30.86,0.217,137,714.295,0.86579,16.09,15.059,19.993,199.835,89.999,507.183,4072.913,4979.082,4.937,90.976,30.005,53.612,405,541.732,104.917,70.267,52.004,1.038,1.11e+16,4.37e+16,1.38e+17,3.03e+17,6e+17,32135.618,105.552,895.0,156,0,21122,171.94875
2,dry,1176.019149,31.07,0.218,116,710.114,0.90483,19.026,14.93,19.995,202.118,90.001,501.286,4084.939,5031.989,4.888,91.969,30.006,47.598,365,532.2,106.632,71.231,50.846,1.005,1.04e+16,1.51e+16,1.38e+17,2.98e+17,6e+17,31057.895,102.598,898.0,152,0,21133,167.2535
3,dry,933.4427329,31.04,0.196,143,710.617,0.42197,18.891,14.947,20.004,194.668,90.0,503.396,4045.078,4969.316,4.933,91.458,30.001,32.843,436,537.729,108.785,71.295,51.665,1.025,8890000000000000.0,1.02e+17,1.38e+17,3e+17,6e+17,32140.566,102.963,879.0,155,0,21111,169.45425
4,wet,1140.598752,31.37,0.215,76,711.632,1.70139,13.788,14.82,19.998,202.192,90.0,501.423,4010.176,5092.407,5.05,94.723,29.988,57.37,405,522.143,109.913,72.983,50.787,1.038,1.67e+16,7.88e+16,1.38e+17,3.02e+17,6e+17,31986.009,101.419,882.0,155,0,21122,172.433
5,dry,1311.225435,41.03,0.213,114,710.084,0.69888,18.771,14.997,20.0,197.199,90.0,501.079,4030.187,4946.249,4.945,91.069,30.003,4.562,365,539.753,107.797,70.207,51.687,1.023,1.13e+16,8.12e+16,1.38e+17,2.99e+17,6e+17,31982.632,103.847,871.0,152,0,21133,170.72099999999998
6,dry,938.2766769,30.24,0.211,116,714.56,0.85768,20.701,14.978,19.999,202.194,90.0,501.572,4126.143,5060.506,5.117,88.719,29.995,59.616,365,482.812,107.033,70.688,50.834,1.034,1.13e+16,1.16e+17,1.38e+17,2.99e+17,6e+17,32499.229,102.84,916.0,157,0,21111,167.915
7,dry,1033.815333,30.45,0.199,218,700.741,0.45409,11.253,14.919,20.0,202.532,90.0,497.102,3902.474,5113.826,5.021,92.617,30.002,26.803,436,526.283,105.824,69.496,51.711,1.047,1.12e+16,7.2e+16,1.38e+17,3e+17,6e+17,32016.39,104.368,891.0,153,0,21122,161.16025
8,wet,1154.565473,32.35,0.217,119,715.399,1.36775,15.286,15.013,19.999,200.458,90.001,500.154,3995.181,4942.826,5.051,91.588,29.989,23.234,365,507.655,105.088,70.06,51.141,1.047,1.45e+16,6.48e+16,1.38e+17,3.01e+17,6e+17,31810.414,103.625,903.0,153,0,21133,177.72475
9,wet,992.3573582,35.26,0.202,85,687.497,0.82933,12.463,15.01,20.002,202.963,89.999,501.394,4135.365,5111.433,5.102,92.888,29.997,59.996,436,508.986,106.837,71.617,51.857,1.045,1.06e+16,8.54e+16,1.38e+17,3e+17,6e+17,31969.699,102.847,883.0,161,0,21211,161.77425
10,wet,1079.90641,35.17,0.195,144,722.57,1.51697,19.767,14.889,19.997,199.4,89.999,496.487,4041.284,4982.75,4.989,90.241,30.002,54.021,436,492.678,110.934,70.261,50.744,1.032,1.53e+16,1.01e+17,1.38e+17,3e+17,6e+17,31419.868,103.298,862.0,154,0,21222,170.44250000000002
11,wet,1032.77772,38.24,0.199,58,721.595,0.83835,16.029,14.952,20.0,204.41,89.999,501.655,4052.219,5036.152,4.997,94.758,29.998,20.588,436,547.415,110.832,71.033,50.902,1.03,1.06e+16,1.63e+17,2.2e+17,3.03e+17,6e+17,31196.102,104.54,892.0,154,0,21233,171.34875000000002
12,wet,1022.376643,32.81,0.201,144,708.792,1.22796,17.587,15.072,20.0,198.818,90.002,495.986,4029.315,5156.979,4.959,90.49,29.998,49.682,405,511.504,104.978,71.137,51.002,1.035,1.13e+16,1.31e+16,1.38e+17,3e+17,6e+17,31201.477,103.231,902.0,158,0,21211,169.498
13,dry,1132.062956,38.2,0.219,119,702.557,1.52203,16.445,14.979,20.006,201.674,90.0,500.442,4088.413,5019.57,4.9,93.958,30.005,36.541,405,511.294,107.77,71.234,50.947,1.045,1.17e+16,1.1e+17,1.38e+17,3e+17,6e+17,31084.207,101.561,895.0,153,0,21222,160.53924999999998
14,dry,1158.231481,26.67,0.198,118,702.259,1.52932,13.366,14.849,20.0,202.289,90.001,502.263,4062.197,5085.989,4.864,92.418,30.009,33.036,436,515.668,109.616,71.249,50.451,1.063,1.18e+16,8.54e+16,1.38e+17,3.01e+17,6e+17,32253.776,102.869,904.0,155,0,21233,168.56475
