,type,Temp_OXid,ppm,Pressure,Oxid_time,thickness,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,Line_CD,Wavelength,Resolution,Energy_Exposure,Thin F4,Thin F3,Thin F2,Thin F1,Temp_Etching,Source_Power,Selectivity,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,Target,Chamber
0,dry,872.3001329,39.93,0.213,220,709.495,1.36943,11.253,15.069,20.001,202.79,90.0,503.441,4068.827,5086.034,5.103,93.683,29.994,28.894,436,546.867,108.327,224,1453,3636,5722,71.119,51.06,1.027,1.47e+16,5.3e+16,1.38e+17,3.01e+17,6e+17,32298.512,102.651,920.0,154,0,11322
1,dry,881.5642623,34.58,0.217,220,709.742,0.67979,19.767,14.917,20.002,202.524,90.001,502.524,4001.361,5063.106,5.072,92.969,29.999,28.585,436,548.822,108.066,216,1455,3631,5712,71.287,51.127,1.028,2.03e+16,7.67e+16,1.38e+17,3e+17,6e+17,32300.691,102.818,918.0,154,0,11322
2,dry,875.8511913,38.02,0.204,32,710.536,1.11455,16.445,15.018,19.997,204.603,90.0,504.603,4087.957,5115.078,5.089,92.934,30.002,14.799,436,546.757,107.732,207,1388,3638,5727,71.054,51.231,1.031,2.14e+16,1.67e+17,1.38e+17,3e+17,6e+17,32302.035,103.077,913.0,155,0,11322
3,dry,1049.253776,36.74,0.205,147,709.838,0.73422,15.243,14.939,20.002,202.168,90.001,502.263,4056.014,4959.075,5.063,90.706,30.012,47.652,405,534.147,109.963,185,1630,3637,5728,71.606,51.027,1.024,1.23e+16,9.3e+16,2.59e+17,3.03e+17,6e+17,32922.767,104.804,923.0,152,0,11322
4,dry,1074.930136,31.47,0.212,117,708.267,1.72027,16.852,15.041,20.003,197.898,90.001,495.402,4035.394,5098.559,4.993,90.621,30.004,52.821,365,532.275,109.351,423,1526,3655,5688,72.506,50.769,1.044,1.26e+16,3.11e+16,1.38e+17,3.02e+17,6e+17,32295.6,100.745,884.0,155,0,11322
5,dry,1106.58443,39.02,0.206,204,696.973,0.94868,17.655,15.036,20.005,198.828,90.0,505.859,4017.144,5018.69,4.909,90.377,30.013,49.36,436,533.105,106.293,210,1671,3637,5710,71.553,50.168,1.011,2.05e+16,1.43e+17,1.38e+17,3e+17,6e+17,32268.828,102.998,898.0,159,0,11322
6,wet,1291.868318,45.44,0.226,33,722.546,1.87839,16.445,14.999,19.997,196.31,90.0,496.31,3926.195,4907.744,4.907,89.193,30.007,40.919,365,479.261,107.893,233,1441,3656,5709,72.255,51.174,1.029,3240000000000000.0,9.24e+16,1.38e+17,3.02e+17,6e+17,32551.161,102.936,881.0,154,0,11322
7,wet,1288.950132,32.8,0.222,29,713.971,2.29371,17.275,15.084,20.003,194.399,90.001,494.399,3887.97,4859.963,4.856,88.81,30.013,36.631,365,478.127,106.857,289,1391,3655,5722,71.397,50.447,1.011,4240000000000000.0,5.8e+16,1.38e+17,3.01e+17,6e+17,32449.708,101.118,882.0,152,0,11322
8,wet,1284.131599,32.88,0.226,33,721.514,1.92128,19.563,15.214,19.997,195.594,90.0,495.594,3911.874,4889.842,4.889,88.714,29.999,37.584,365,465.359,108.265,270,1462,3659,5712,72.151,51.12,1.028,1.59e+16,9.24e+16,1.38e+17,2.99e+17,6e+17,32454.981,102.8,882.0,154,0,11322
9,dry,1156.761458,32.82,0.215,31,701.568,0.89128,13.788,15.029,19.998,199.11,89.999,499.243,4087.957,5088.081,5.067,93.407,29.995,42.863,436,549.22,108.891,291,1380,3637,5698,71.287,50.491,1.022,7890000000000000.0,8.7e+16,1.38e+17,2.98e+17,6e+17,32001.77,102.186,908.0,154,0,11322
10,dry,1050.876258,36.74,0.202,32,717.852,1.6894,11.253,14.924,20.007,199.03,89.998,500.811,4014.071,5123.526,4.951,92.227,30.001,27.843,365,509.296,105.783,392,1346,3657,5710,71.119,51.171,1.042,7690000000000000.0,1.23e+17,1.38e+17,3.01e+17,6e+17,32628.909,98.842,919.0,155,0,11322
11,wet,1269.85108,31.47,0.201,32,709.049,1.4155,19.767,15.032,19.996,205.542,90.0,500.992,3955.393,4986.191,4.99,93.109,30.006,44.442,405,522.505,108.651,288,1268,3655,5721,71.287,50.464,1.027,1.25e+16,1.11e+17,2.4e+17,3e+17,6e+17,30855.999,103.879,902.0,155,0,11322
12,dry,876.1663464,22.16,0.215,30,715.404,0.91222,16.985,15.039,20.003,203.99,90.0,503.99,3971.194,5099.761,5.09,92.831,30.011,30.328,436,560.847,107.964,217,1337,3638,5720,71.133,51.574,1.047,8590000000000000.0,9.24e+16,1.38e+17,3e+17,6e+17,32299.768,103.934,917.0,156,0,12233
