,Unnamed: 0,type,Temp_OXid,ppm,Pressure,Oxid_time,thickness,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,Line_CD,Wavelength,Resolution,Energy_Exposure,Temp_Etching,Source_Power,Selectivity,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,Target,Chamber,Etching_rate
0,217,dry,1209.08899,30.34,0.203,50,714.415,1.21051,15.707,14.973,19.997,196.382,89.999,500.053,4063.467,5100.873,5.09,92.369,30.003,38.023,405,509.248,108.548,71.389,51.222,1.026,1.06e+16,1.07e+17,1.38e+17,3.02e+17,6e+17,31593.132,103.087,884.0,156,0,32122,174.10375
1,220,dry,1065.177048,35.89,0.196,184,714.295,1.18246,14.849,15.024,19.997,197.98,90.002,499.243,3972.826,5036.427,4.989,92.6,30.01,37.686,436,539.95,106.798,71.542,51.623,1.029,8540000000000000.0,1.37e+17,2.79e+17,3.01e+17,6e+17,31510.648,101.757,910.0,157,0,32122,173.64875
2,223,wet,994.8957488,33.83,0.224,69,711.632,1.89693,13.838,15.207,19.995,197.135,90.0,499.402,4047.073,5005.945,4.981,94.151,29.996,44.672,405,523.307,110.261,69.329,51.433,1.03,9490000000000000.0,1.28e+17,1.38e+17,3e+17,6e+17,31580.222,104.285,898.0,155,0,32122,171.25799999999998
3,1000,dry,886.9805117,22.48,0.222,23,719.07,1.48912,16.445,15.014,20.002,199.89,90.0,499.89,3997.81,4997.262,5.012,91.411,29.998,55.266,405,508.251,110.249,71.907,52.343,1.059,1.26e+16,9.82e+16,1.38e+17,3.01e+17,6e+17,32478.804,105.858,860.0,159,0,32122,172.69250000000002
4,1003,dry,884.6014471,22.48,0.223,25,720.06,1.36943,16.456,15.005,20.004,200.524,90.0,500.524,4010.486,5013.107,5.012,91.542,30.0,57.166,405,511.851,110.369,72.006,52.381,1.06,4100000000000000.0,1.67e+16,1.77e+16,2.98e+17,6e+17,32473.014,105.952,861.0,159,0,32122,174.96499999999995
5,1006,dry,881.0157989,22.48,0.225,232,721.375,0.67979,17.367,15.133,19.999,201.209,90.0,501.209,4024.184,5030.23,5.031,91.794,30.002,58.781,405,512.409,110.764,72.137,52.568,1.064,1.49e+16,1.49e+17,3.5e+16,3.01e+17,6e+17,32477.288,106.419,861.0,160,0,32122,172.01875
6,1189,dry,1172.959321,22.88,0.199,67,711.632,1.89693,15.084,14.917,20.0,199.515,90.0,501.423,4083.328,5069.597,4.944,94.821,29.999,33.488,365,517.433,109.42,71.287,51.753,1.007,1.55e+16,1.4e+17,1.38e+17,3e+17,6e+17,31912.806,102.332,895.0,156,0,32122,168.833
7,1192,dry,1140.030247,29.0,0.216,123,693.27,1.48912,16.185,15.018,19.996,197.236,90.0,497.102,4001.361,5040.111,5.094,94.209,30.006,32.638,405,502.919,107.975,71.119,50.941,1.02,1.13e+16,4.06e+16,1.38e+17,3.01e+17,6e+17,31298.499,101.301,894.0,157,0,32122,167.9925
8,1195,wet,1133.085682,34.65,0.199,100,716.271,1.36943,17.22,15.011,19.997,198.221,89.999,496.487,4087.957,5054.012,5.097,90.527,29.989,62.295,365,516.22,108.112,71.287,51.007,1.039,1.27e+16,9.24e+16,1.38e+17,2.98e+17,6e+17,32339.953,104.815,899.0,155,0,32122,166.34274999999997
9,460,dry,891.0396997,22.17,0.219,25,716.026,0.93292,16.09,14.908,20.003,204.234,90.0,504.234,4084.68,5105.85,5.116,93.645,30.001,37.494,436,541.911,109.924,71.603,52.199,1.055,1.31e+16,1.3e+17,1.38e+17,3.01e+17,6e+17,32301.804,105.498,933.0,158,0,13122,173.6315
10,463,dry,889.1191899,22.16,0.216,29,712.692,0.93368,13.788,14.966,19.999,204.238,90.001,504.238,4084.761,5105.951,5.121,94.516,29.999,45.357,436,532.047,111.247,71.269,52.165,1.054,5850000000000000.0,3.49e+16,2.28e+16,2.98e+17,6e+17,32299.577,105.413,938.0,158,0,13122,171.248
